| Characteristic           | Description                                  |
|-------------------------|----------------------------------------------|
| Bulb Type               | Tunicated bulb                               |
| Bulb Shape              | Ovoid (Length > Width)                      |
| Bulb Length            | Approximately 5-7 cm (2-2.75 inches)        |
| Bulb Width             | Approximately 3-5 cm (1.2-2 inches)         |
| Bulb Thickness         | Approximately 2-4 cm (0.8-1.6 inches)       |
| Bulb Color             | White to off-white                           |
| Bulb Tunic              | Multilayered, papery sheath                 |
| Bulb Clove Arrangement | Multiple individual cloves within the bulb |
| Bulb Clove Shape       | Wedge-shaped                                |
| Bulb Clove Length      | Approximately 2.5-4 cm (1-1.6 inches)      |
| Bulb Clove Width       | Approximately 1.5-2.5 cm (0.6-1 inch)       |
| Bulb Clove Thickness   | Approximately 0.5-1 cm (0.2-0.4 inches)     |
| Bulb Clove Color       | White to pale beige                         |
