| Characteristic         | Description                                     |
|------------------------|-------------------------------------------------|
| Stem Type              | Herbaceous (non-woody)                         |
| Stem Arrangement       | Basal (growing from the base)                  |
| Stem Shape             | Cylindrical                                    |
| Stem Height            | 30-90 cm (11.8-35.4 inches)                    |
| Stem Diameter          | 0.5-1.5 cm (0.2-0.6 inches)                   |
| Stem Nodes             | Typically 1 (at the base)                      |
| Stem Internodes        | Variable, shorter near base, longer higher up  |
| Stem Texture           | Smooth, fleshy                                 |
| Stem Color             | Green                                          |
