| Characteristic             | Description                                        |
|----------------------------|----------------------------------------------------|
| Root System Type           | Fibrous (Adventitious)                             |
| Root Structure             | Tuberous, Branched, Non-woody                     |
| Root Branching             | Dichotomous (forked), Extensive                   |
| Root Tips                  | Acute (Sharp)                                      |
| Root Density               | High, about 14 cm/cm³ (0.14 in/in³)               |
| Root Depth                 | Shallow, typically 10-20 cm (4-8 inches)         |
| Root Diameter              | Approximately 0.2 cm (0.08 inches)                |
| Root Length                | Varies, can reach up to 50 cm (20 inches)        |
| Root Color                 | Whitish, Cream-colored                            |
| Root Texture               | Fleshy, Smooth                                     |
| Root Surface Features      | No pronounced features                            |
| Root Nodules               | Absent                                             |
| Root Hairs                | Sparse, Short, Non-mycorrhizal                   |
| Root Modifications         | Bulb development, Storage Tissues                 |
