ulmus-rubra|Tea|Respiratory issues
ulmus-rubra|Tea|Digestive problems
ulmus-rubra|Tea|Gastrointestinal inflammation
ulmus-rubra|Tea|Heartburn and indigestion
ulmus-rubra|Tea|Stomach ulcers
ulmus-rubra|Tea|Acid reflux
ulmus-rubra|Tea|Sore throat
ulmus-rubra|Tea|Skin irritations
ulmus-rubra|Tea|Mouth sores
ulmus-rubra|Tea|Easing constipation
ulmus-rubra|Powder|Ulcer
ulmus-rubra|Powder|Heartburn
ulmus-rubra|Powder|Sore throat
ulmus-rubra|Powder|Diarrhea
ulmus-rubra|Powder|Gastrointestinal problems
ulmus-rubra|Powder|Indigestion
ulmus-rubra|Powder|Chronic cough
ulmus-rubra|Powder|Constipation
ulmus-rubra|Powder|Respiratory infections
ulmus-rubra|Powder|Inflammation
ulmus-rubra|Powder|Skin irritations
ulmus-rubra|Tincture|Stomach ulcers
ulmus-rubra|Tincture|Gastric issues
ulmus-rubra|Tincture|Cough
ulmus-rubra|Tincture|Sore throat
ulmus-rubra|Tincture|Respiratory problems
ulmus-rubra|Tincture|Diarrhea
ulmus-rubra|Tincture|Skin irritation
ulmus-rubra|Tincture|Inflammation
ulmus-rubra|Tincture|Muscle pain
ulmus-rubra|Tincture|Acid reflux
ulmus-rubra|Tincture|Intestinal issues
ulmus-rubra|Capsules|Digestive issues
ulmus-rubra|Capsules|Sore throat
ulmus-rubra|Capsules|Inflammation
ulmus-rubra|Capsules|Ulcers
ulmus-rubra|Capsules|Cough
ulmus-rubra|Capsules|Gum and teeth health
ulmus-rubra|Capsules|Constipation
ulmus-rubra|Capsules|Diarrhea
ulmus-rubra|Capsules|Acid reflux
ulmus-rubra|Capsules|Heartburn
ulmus-rubra|Capsules|Urinary tract infections
ulmus-rubra|Capsules|Respiratory problems
ulmus-rubra|Syrup|Throat Inflammation
ulmus-rubra|Syrup|Respiratory Problems
ulmus-rubra|Syrup|Digestive Issues
ulmus-rubra|Syrup|Ulcers
ulmus-rubra|Syrup|Diarrhea
ulmus-rubra|Syrup|Acid Reflux and Heartburn
ulmus-rubra|Syrup|Gastritis
ulmus-rubra|Lozenges|Sore throat
ulmus-rubra|Lozenges|Cough
ulmus-rubra|Lozenges|Indigestion
ulmus-rubra|Lozenges|Heartburn
ulmus-rubra|Lozenges|Gastroesophageal reflux disease (GERD)
ulmus-rubra|Lozenges|Mucositis
ulmus-rubra|Lozenges|Acid reflux
ulmus-rubra|Lozenges|Stomach ulcers
ulmus-rubra|Lozenges|Diarrhea
ulmus-rubra|Lozenges|Constipation
ulmus-rubra|Lozenges|Nausea
ulmus-rubra|Lozenges|Upper respiratory infections
ulmus-rubra|Gargle|Throat irritation
ulmus-rubra|Gargle|Sore throat
ulmus-rubra|Gargle|Coughs and colds
ulmus-rubra|Gargle|Dry mouth
ulmus-rubra|Gargle|Laryngitis
ulmus-rubra|Gargle|Hoarseness
ulmus-rubra|Gargle|Mouth ulcers
ulmus-rubra|Gargle|Respiratory issues
ulmus-rubra|Gargle|Tonsillitis
ulmus-rubra|Gargle|Acid reflux
ulmus-rubra|Gargle|Gastroesophageal Reflux Disease (GERD)
ulmus-rubra|Gargle|Heartburn
ulmus-rubra|Suppository|Digestive issues
ulmus-rubra|Suppository|Inflammation
ulmus-rubra|Suppository|Constipation relief
ulmus-rubra|Suppository|Pain management
ulmus-rubra|Suppository|Reproductive system support
ulmus-rubra|Suppository|Respiratory issues
ulmus-rubra|Suppository|Throat and mouth sores
ulmus-rubra|Suppository|Skin irritation
ulmus-rubra|Infusion|Sore throat
ulmus-rubra|Infusion|Indigestion
ulmus-rubra|Infusion|Stomach ulcers
ulmus-rubra|Infusion|Acid reflux
ulmus-rubra|Infusion|Respiratory problems
ulmus-rubra|Infusion|Intestinal issues
ulmus-rubra|Infusion|Coughs and colds
ulmus-rubra|Infusion|Inflammation
ulmus-rubra|Infusion|Skin irritations
ulmus-rubra|Infusion|Urinary tract infections
ulmus-rubra|Poultice|Coughing issues
ulmus-rubra|Poultice|Digestive problems
ulmus-rubra|Poultice|Skin inflammations and irritations
ulmus-rubra|Poultice|Respiratory ailments
ulmus-rubra|Poultice|Mouth ulcers or sores
