achillea-millefolium|relieves-inflammation|image|Arthritis
achillea-millefolium|relieves-inflammation|image|Digestive inflammation (such as gastritis)
achillea-millefolium|relieves-inflammation|image|Respiratory inflammation (e.g., bronchitis)
achillea-millefolium|relieves-inflammation|image|Skin inflammation (like eczema or dermatitis)
achillea-millefolium|relieves-inflammation|image|Joint inflammation
achillea-millefolium|relieves-inflammation|image|Urinary tract inflammation
achillea-millefolium|relieves-inflammation|image|Sinusitis
achillea-millefolium|relieves-inflammation|image|Gum inflammation (gingivitis)
achillea-millefolium|relieves-inflammation|image|Menstrual inflammation (dysmenorrhea)
achillea-millefolium|relieves-inflammation|image|Inflammatory bowel disease (IBD)
achillea-millefolium|promotes-digestion|image|Indigestion
achillea-millefolium|promotes-digestion|image|Bloating
achillea-millefolium|promotes-digestion|image|Gas
achillea-millefolium|promotes-digestion|image|Upset stomach
achillea-millefolium|promotes-digestion|image|Gastrointestinal spasms
achillea-millefolium|promotes-digestion|image|Diarrhea
achillea-millefolium|promotes-digestion|image|Constipation
achillea-millefolium|promotes-digestion|image|Irritable bowel syndrome (IBS)
achillea-millefolium|promotes-digestion|image|Gastritis
achillea-millefolium|promotes-digestion|image|Peptic ulcers
achillea-millefolium|alleviates-menstrual-discomfort|image|Dysmenorrhea
achillea-millefolium|alleviates-menstrual-discomfort|image|Menstrual cramps
achillea-millefolium|alleviates-menstrual-discomfort|image|Menstrual pain
achillea-millefolium|alleviates-menstrual-discomfort|image|Menstrual irregularities
achillea-millefolium|alleviates-menstrual-discomfort|image|Premenstrual syndrome (PMS)
achillea-millefolium|alleviates-menstrual-discomfort|image|Heavy menstrual bleeding (Menorrhagia)
achillea-millefolium|alleviates-menstrual-discomfort|image|Amenorrhea (absence of menstruation)
achillea-millefolium|alleviates-menstrual-discomfort|image|Menstrual headaches
achillea-millefolium|alleviates-menstrual-discomfort|image|Menstrual bloating
achillea-millefolium|alleviates-menstrual-discomfort|image|Menstrual mood swings
achillea-millefolium|enhances-wound-healing|image|Cuts
achillea-millefolium|enhances-wound-healing|image|Scrapes
achillea-millefolium|enhances-wound-healing|image|Abrasions
achillea-millefolium|enhances-wound-healing|image|Minor burns
achillea-millefolium|enhances-wound-healing|image|Incisions
achillea-millefolium|enhances-wound-healing|image|Surgical wounds
achillea-millefolium|enhances-wound-healing|image|Blisters
achillea-millefolium|enhances-wound-healing|image|Grazes
achillea-millefolium|enhances-wound-healing|image|Lacerations
achillea-millefolium|enhances-wound-healing|image|Puncture wounds
achillea-millefolium|reduces-high-blood-pressure|image|Hypertension
achillea-millefolium|reduces-high-blood-pressure|image|Cardiovascular disease
achillea-millefolium|reduces-high-blood-pressure|image|Stroke prevention
achillea-millefolium|reduces-high-blood-pressure|image|Heart disease
achillea-millefolium|reduces-high-blood-pressure|image|Kidney disease
achillea-millefolium|reduces-high-blood-pressure|image|Atherosclerosis
