entity\common_name\root\medicine\medicine_benefits\medicine_preparations
achillea-millefolium\yarrow\x\x\x\x
acorus-calamus\sweet flag\x\x\x\x
aesculus-hippocastanum\horse chestnut\x\x\x\x
allium-sativum\garlic\x\x\x\x
aloe-vera\aloe vera\x\x\x\x
alpinia-officinarum\galangal\x\x\x\x
ammi-visnaga\visnaga\x\x\x\x
angelica-sinensis\dong quai\x\x\x\x
apium-graveolens\celery\x\x\x\x
arctium-lappa\burdock\x\x\x\x
artemisia-absinthium\Wormwood \x\x\x\x
artemisia-annua\Sweet Annie \x\x\x\x
astragalus-membranaceus\Astragalus \x\x\x\x
atropa-belladonna\Deadly Nightshade \x\x\x\x
azadirachta-indica\Neem \x\x\x\x
barosma-betulina\Buchu \x\x\x\x
bupleurum-chinense\Bupleurum \x\x\x\x
calendula-officinalis\Calendula \x\x\x\x
capsicum-annuum\Cayenne \x\x\x\x
cassia-senna\Senna \x\x\x\x
centella-asiatica\Gotu Kola \x\x\x\x
chamomilla-recutita\German Chamomile \x\x\x\x
chrysanthemum-morifolium\Ju Hua \x\x\x\x
cimicifuga-racemosa\Black Cohosh \x\x\x\x
cinchona-officinalis\Cinchona \x\x\x\x
cinnamomum-verum\Cinnamon \x\x\x\x
citrus-limon\Lemon \x\x\x\x
codonopsis-pilosula\Codonopsis \x\x\x\x
coleus-forskohlii\Coleus \x\x\x\x
commiphora-molmol\Myrrh \x\x\x\x
corydalis-yanhusuo\Corydalis \x\x\x\x
crataegus-oxyacantha\Hawthorn \x\x\x\x
crataeva-nurvula\Varuna \x\x\x\x
crocus-sativa\Saffron \x\x\x\x
curcuma-longa\Turmeric \x\x\x\x
dioscorea-villosa\Wild Yam \x\x\x\x
echinacea-angustifolia\Echinacea \x\x\x\x
elettaria-cardamomum\Cardamom \x\x\x\x
eleutherococcus-senticosus\Siberian Ginseng \x\x\x\x
ephedra-sinica\Ephedra \x\x\x\x
eucalyptus-globulus\Eucalyptus \x\x\x\x
eugenia-caryophyllata\Clove \\\\
filipendula-ulmaria\Meadowsweet \\\\
gentiana-lutea\Gentian \\\\
ginkgo-biloba\Ginkgo \\\\
glycyrrhiza-glabra\Licorice \\\\
hamamelis-virginiana\Witch Hazel \\\\
harpagophytum-procumbens\Devil’s Claw \\\\
humulus-lupulus\Hops \\\\
hydrastis-canadensis\Goldenseal \\\\
hypericum-perforatum\St. John’s Wort \\\\
inula-helenium\Elecampane \\\\
lavandula-angustifolia\Lavender \\\\
linum-usitatissimum\Flaxseed \\\\
lobelia-inflata\Lobelia \\\\
lycium-chinense\Goji Berry \\\\
melaleuca-alternifolia\Tea Tree \\\\
melissa-officinalis\Lemon Balm \\\\
mentha-x-piperita\Peppermint \\\\
myristica-fragrans\Nutmeg & Mace \\\\
ocimum-tenuiflorum\Holy Basil \\\\
paeonia-lactiflora\White Peony \\\\
panax-ginseng\Ginseng \\\\
passiflora-incarnata\Passionflower \\\\
pelargonium-sidoides\Pelargonium \\\\
persea-americana\Avocado \\\\
piper-methysticum\Kava \\\\
plantago-lanceolata\Psyllium \\\\
polygonum-multiflorum\Fo Ti \\\\
rehmannia-glutinosa\Rehmannia \\\\
rheum-palmatum\Chinese Rhubarb \\\\
rhodiola-rosea\Rhodiola \\\\
rosmarinus-officinalis\Rosemary \\\\
salix-alba\White Willow \\\\
salvia-miltiorrhiza\Dan Shen \\\\
salvia-officinalis\Sage \\\\
sambucus-nigra\Elder \\\\
schisandra-chinensis\Schisandra \\\\
scutellaria-baicalensis\Baical Skullcap \\\\
scutellaria-lateriflora\Skullcap \\\\
serenoa-repens\Saw Palmetto \\\\
silybum-marianum\Milk Thistle \\\\
symphytum-officinale\Comfrey \\\\
tabebuia-rosea\Pau d’Arco \\\\
tanacetum-parthenium\Feverfew \\\\
taraxacum-officinale\Dandelion \\\\
terminalia-arjuna\Arjun \\\\
thymus-vulgaris\Thyme \\\\
turnera-diffusa\Damiana \\\\
ulmus-rubra\Slippery Elm \\\\
urtica-dioica\Nettle \\\\
vaccinium-myrtillus\Bilberry \\\\
valeriana-officinalis\Valerian \\\\
verbena-officinalis\Vervain \\\\
viburnum-opulus\Cramp Bark \\\\
vitex-agnus-castus\Chaste Tree \\\\
withania-somnifera\Ashwagandha \\\\
zanthoxylum-americanum\Prickly ash \\\\
zea-mays\Corn \\\\
zingiber-officinale\Ginger \\\\
