

zingiber-officinale\zingiber officinale\zingiberaceae\ginger, common ginger, cooking ginger, stem ginger, canton ginger, true ginger, east indian ginger 
glycyrrhiza-glabra\glycyrrhiza glabra\Fabaceae\Liquorice, Black Sugar, Common licorice, Licorice, Liquorice (UK), Mulaith, Sweetwood
echinacea-purpurea\echinacea purpurea\Asteraceae\purple coneflower, coneflower, American coneflower, Eastern purple coneflower, black sampson, sampson root
ginkgo-biloba\ginkgo biloba\Ginkgoaceae\Ginkgo, Maidenhair Tree,, Japanese silver apricot, silver apricot, fossil tree
lavandula-angustifolia\lavandula angustifolia\Lamiaceae\lavender, true lavender, English lavender, garden lavender, common lavender, narrow-leaved lavender
rosmarinus-officinalis\rosmarinus officinalis\Lamiaceae\rosemary, sea dew, compass plant, Romero, Romarin, Incensier
eucalyptus-globulus\eucalyptus globulus\Myrtaceae\Tasmanian blue gum, blue gum, Tasmanian bluegum, southern blue gum, Australian fever tree
curcuma-longa\curcuma longa\Zingiberaceae\turmeric, kuri, kunir, khamin, khamin-chan
melissa-officinalis\melissa officinalis\Lamiaceae\Balm, Balm Mint, Common Balm, Lemon Balm, honey plant, melissa
valeriana-officinalis\valeriana officinalis\Caprifoliaceae\common valerian, garden valerian, all-heal, garden heliotrope, set-wall, medicinal valerian
thymus-vulgaris\thymus vulgaris\thyme, common thyme, garden thyme\thyme
foeniculum-vulgare\foeniculum vulgare\fennel, finocchio, fenicule\fennel
silybum-marianum\silybum marianum\holy thistle, milk thistle, lady's thistle\milk thistle
urtica-dioica\urtica dioica\nettle, stinging nettle, common nettle\nettle
sambucus-nigra\sambucus nigra\elder, black elder, european elder\elderberry
calendula-officinalis\calendula officinalis\pot marigold, calendula, marygold\marigold
cinchona-officinalis\cinchona officinalis\red bark, jesuit's bark, febrifuge tree\cinchona
achillea-millefolium\achillea millefolium\yarrow, milfoil, bloodwort\yarrow
aloe-barbadensis\aloe barbadensis\aloe vera, ghritkumari, burn plant\aloe vera
passiflora-incarnata\passiflora incarnata\passionflower, maypop, wild passion flower\passionflower
hypericum-perforatum\hypericum perforatum\st. john's wort, perforate st. john's wort, common st. john's wort\st. john's wort
avena-sativa\avena sativa\oats, common oats, wild oats\oatstraw
taraxacum-officinale\taraxacum officinale\dandelion, wild endive, swiss cabbage\dandelion
panax-ginseng\panax ginseng\asian ginseng, chinese ginseng, red ginseng\ginseng
salvia-officinalis\salvia officinalis\garden sage, common sage, true sage\sage
cinnamomum-verum\cinnamomum verum\ceylon cinnamon, true cinnamon, sri lankan cinnamon\cinnamon
camellia-sinensis\camellia sinensis\tea, black tea, green tea\green tea
astragalus-membranaceus\astragalus membranaceus\huang qi, mengkui, huang chi\astragalus
cymbopogon-citratus\cymbopogon citratus\lemongrass, citronella, malabar grass\lemongrass
melaleuca-alternifolia\melaleuca alternifolia\tea tree, melaleuca, honey myrtle\
equisetum-arvense\equisetum arvense\horsetail, common horsetail, scouring rush\
paeonia-lactiflora\paeonia lactiflora\peony, shirley temple, festoon peony\
symphytum-officinale\symphytum officinale\comfrey, knitbone, boneset\
withania-somnifera\withania somnifera\ashwagandha, indian ginseng, winter cherry\
angelica-sinensis\angelica sinensis\dong quai, tang kuei, chinese angelica\
aloe-vera\aloe vera\ghritkumari, aloevera, kumari\
echinacea-angustifolia\echinacea angustifolia\purple coneflower, cone flower, black samson\
vitex-agnus-castus\vitex agnus-castus\chaste tree, vitex, summer lilac\
arnica-montana\arnica montana\mountain arnica, arnica, mountain sow thistle\
schisandra-chinensis\schisandra chinensis\wu wei zi, schisandra berry, five flavor fruit\
euphrasia-officinalis\euphrasia officinalis\eyebright, euphrasia, wild eyebright\
cimicifuga-racemosa\cimicifuga racemosa\black cohosh, bugbane, black snakeroot\
matricaria-chamomilla\matricaria chamomilla\chamomile, german chamomile, matricaria\
serenoa-repens\serenoa repens\saw palmetto, serenoa, palmetto\
hamamelis-virginiana\hamamelis virginiana\american witch hazel, winterbloom, american hazel\
vaccinium-myrtillus\vaccinium myrtillus\bilberry, whortleberry, european blueberry\
angelica-archangelica\angelica archangelica\angelica, wild celery, european angelica\
centella-asiatica\centella asiatica\gotu kola, indian pennywort, asiatic pennywort\
crataegus-monogyna\crataegus monogyna\hawthorn, quickthorn, maythorn\

