"entity"|"domain"|"kingdom"|"phylum"|"class"|"order"|"family"|"genus"|"species"
"achillea-millefolium"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"asterales"|"asteraceae"|"achillea"|"millefolium"
"acorus-calamus"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"asterales"|"araliaceae"|"acorus"|"calamus"
"aesculus-hippocastanum"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"sapindales"|"hippocastanaceae"|"aesculus"|"hippocastanum"
"allium-sativum"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"alliales"|"alliaceae"|"allium"|"sativum"
"aloe-vera"|"eukarya"|"plantae"|"tracheophyta"|"liliopsida"|"asterales"|"aloaceae"|"aloe"|"vera"
"alpinia-officinarum"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"solanales"|"zingiberaceae"|"alpinia"|"officinarum"
"ammi-visnaga"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"asterales"|"apiaceae"|"ammi"|"visnaga"
"angelica-sinensis"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"asterales"|"apiaceae"|"angelica"|"sinensis"
"apium-graveolens"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"asterales"|"apiaceae"|"apium"|"graveolens"
"arctium-lappa"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"asterales"|"asteraceae"|"arctium"|"lappa"
"artemisia-absinthium"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"asterales"|"asteraceae"|"artemisia"|"absinthium"
"artemisia-annua"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"asterales"|"asteraceae"|"artemisia"|"annua"
"astragalus-membranaceus"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"fabales"|"leguminaceae"|"astragalus"|"membranaceus"
"atropa-belladonna"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"solanales"|"solanaceae"|"atropa"|"atropa belladonna"
"azadirachta-indica"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"sapindales"|"rutaceae"|"azadirachta"|"indica"
"calendula-officinalis"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"asterales"|"asteraceae"|"calendula"|"calendula officinalis"
"capsicum-annuum"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"solanales"|"solanaceae"|"capsicum"|"annuum"
"cassia-senna"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"fabales"|"fabaceae"|"senna"|"cassia senna"
"centella-asiatica"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"asterales"|"apiaceae"|"centella"|"asiatica"
"chamomilla-recutita"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"asterales"|"asteraceae"|"chamomile"|"recutita"
"chrysanthemum-morifolium"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"asterales"|"asteraceae"|"chrysanthemum"|"morifolium"
"cimicifuga-racemosa"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"asterales"|"araliaceae"|"cimicifuga"|"racemosa"
"cinchona-officinalis"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"sapindales"|"rubiaceae"|"cinchona"|"officinalis"
"cinnamomum-verum"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"lamiales"|"lauraceae"|"cinnamomum"|"verum"
"citrus-limon"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"sapindales"|"rutaceae"|"citrus"|"limon"
