| Characteristic            | Description                                |
|---------------------------|--------------------------------------------|
| Fruit Type                | Capsule                                    |
| Fruit Arrangement         | Umbel                                      |
| Fruit Distribution        | Solitary or clustered                      |
| Fruit Shape               | Ovate                                      |
| Fruit Length              | 1.5 cm (0.59 inches)                       |
| Fruit Width               | 1.0 cm (0.39 inches)                       |
| Fruit Thickness           | 0.5 cm (0.20 inches)                       |
| Fruit Wall                | Triangular segments, papery                |
| Fruit Color               | Pale green, turning brown or gray          |
| Fruit Surface             | Smooth and shiny                           |
| Fruit Texture             | Dry and membranous                         |
| Fruit Marking             | None                                       |
| Fruit Attachment          | Detached from pedicel at maturity          |
| Fruit Pedicel             | About 2 cm (0.79 inches) long, slender     |
