achillea-millefolium|alkaloids|image|Antimicrobial properties
achillea-millefolium|alkaloids|image|Anti-inflammatory effects
achillea-millefolium|alkaloids|image|Pain relief
achillea-millefolium|alkaloids|image|Antispasmodic actions
achillea-millefolium|alkaloids|image|Wound healing support
achillea-millefolium|alkaloids|image|Antioxidant activity
achillea-millefolium|alkaloids|image|Fever reduction
achillea-millefolium|alkaloids|image|Digestive health improvement
achillea-millefolium|alkaloids|image|Mild sedative effects
achillea-millefolium|alkaloids|image|Blood pressure regulation
